date,fhv_trips,fhvhv_trip,green_trips,yellow_trips
2019-01,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-01.parquet,,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-01.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-01.parquet
2019-02,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-02.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-02.parquet
2019-03,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-03.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-03.parquet
2019-04,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-04.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-04.parquet
2019-05,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-05.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-05.parquet
2019-06,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-06.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-06.parquet
2019-07,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-07.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-07.parquet
2019-08,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-08.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-08.parquet
2019-09,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-09.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-09.parquet
2019-10,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-10.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-10.parquet
2019-11,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-11.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-11.parquet
2019-12,https://d37ci6vzurychx.cloudfront.net/trip-data/fhv_tripdata_2019-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/fhvhv_tripdata_2019-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/green_tripdata_2019-12.parquet,https://d37ci6vzurychx.cloudfront.net/trip-data/yellow_tripdata_2019-12.parquet
